model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
HF,1,1,512,15.345782041549683,15345.3154296875,,
HF,1,8,512,15.397703886032104,15397.2763671875,,
HF,1,64,512,13.946080446243286,13945.494140625,,
HF,1,512,2048,48.30655646324158,48305.984375,,
HF,2,1,512,16.445772886276245,16445.421875,,
HF,2,8,512,16.25209140777588,16251.7021484375,,
HF,2,64,512,14.446904182434082,14446.5732421875,,
HF,2,512,2048,53.60546255111694,53604.8671875,,
HF_DS,1,1,512,5.490875482559204,5490.5673828125,,
HF_DS,1,8,512,5.4197680950164795,5419.47216796875,,
HF_DS,1,64,512,4.824952602386475,4824.65576171875,,
HF_DS,1,512,2048,17.470508337020874,17470.1640625,,
HF_DS,2,1,512,5.616046905517578,5615.7734375,,
HF_DS,2,8,512,5.541999101638794,5541.70556640625,,
HF_DS,2,64,512,4.947568655014038,4947.21240234375,,
HF_DS,2,512,2048,18.709134578704834,18708.650390625,,
model,batch_size,prompt_len,total_len,total_time,total_time_aux,time_prompt,time_inc
LLAMA_turbo,1,1,512,14.361831426620483,14361.300979614258,333.9847717285156,27.50454158408969
LLAMA_turbo,1,8,512,14.19471025466919,14192.935930252075,396.7764587402344,27.427752428452965
LLAMA_turbo,1,64,512,12.336456537246704,12335.106046676636,31.961088180541992,27.523814224823475
LLAMA_turbo,1,512,2048,42.236806869506836,42235.38485145569,48.33689498901367,27.48341886414767
LLAMA_turbo,2,1,512,14.605623483657837,14603.823108673096,28.295167922973633,28.579466550490434
LLAMA_turbo,2,8,512,14.284711837768555,14283.768852233887,28.173311233520508,28.341144216700528
LLAMA_turbo,2,64,512,12.760359764099121,12759.321613311768,31.092735290527344,28.474784962016198
LLAMA_turbo,2,512,2048,43.812726736068726,43811.61677932739,77.44000244140625,28.49132037582149
LLAMA_official,1,1,512,13.402244567871094,13401.877500534058,27.440128326416016,26.224387004328708
LLAMA_official,1,8,512,13.203957080841064,13203.274744033813,28.280832290649414,26.192830838455595
LLAMA_official,1,64,512,11.728264808654785,11727.62420463562,27.809791564941406,26.174081461008228
LLAMA_official,1,512,2048,40.24703121185303,40246.14806365967,48.7454719543457,26.187232958765684
